ID,Name,Team,Pos,Price,14_pts,15_pts,16_pts,17_pts,18_pts,19_pts,20_pts
240,Andreas,FUL,MID,5.1,2.66995,2.31881,2.24435,2.82942,2.51494,2.82821,2.80901
241,Bassey,FUL,DEF,4.5,2.22813,2.30552,2.68893,2.13685,2.66406,2.28406,2.18383
242,Benda,FUL,GK,4,0.20691,0.20441,0.29432,0.18118,0.24893,0.20425,0.17449
243,Cairney,FUL,MID,4.8,1.42806,1.30915,1.15873,1.52045,1.23276,1.52129,1.47176
244,Castagne,FUL,DEF,4.2,1.45688,1.48015,1.63214,1.41627,1.62457,1.50054,1.44001
245,Diop,FUL,DEF,4.4,0.80758,0.83704,0.99942,0.77275,0.99257,0.82954,0.79032
246,Harris,FUL,MID,4.5,0,0,0,0,0,0,0
247,Iwobi,FUL,MID,5.6,3.05958,2.68044,2.60443,3.09353,2.85643,3.09079,3.0614
248,Leno,FUL,GK,5,3.79962,3.75632,5.16383,3.39394,4.44575,3.75893,3.28876
249,Lukić,FUL,MID,4.8,1.73261,1.66196,1.59998,1.8036,1.65809,1.80615,1.73758
250,Mbabu,FUL,DEF,4,0.05395,0.05653,0.06793,0.05096,0.06635,0.05503,0.05109
251,Muniz,FUL,FWD,5.5,1.64923,1.49407,1.33059,1.82522,1.46133,1.74536,1.69769
252,Raúl,FUL,FWD,5.7,2.64768,2.43109,2.21838,2.85127,2.38603,2.74599,2.68275
253,Ream,FUL,DEF,4.5,0,0,0,0,0,0,0
254,Reed,FUL,MID,4.8,0,0,0,0,0,0.01571,0.69258
255,Robinson,FUL,DEF,4.7,2.87835,2.84332,3.04364,2.87431,3.07868,2.99209,2.88576
256,Stansfield,FUL,FWD,5,0.55802,0.49812,0.49512,0.58272,0.5378,0.60448,0.50608
257,Tete,FUL,DEF,4.5,2.22435,2.2767,2.56749,2.14316,2.5459,2.28864,2.19799
258,Vinicius,FUL,FWD,5,0.00131,0.00117,0.00109,0.00145,0.00121,0.00138,0.00134
259,Wilson,FUL,MID,5.2,1.2958,1.20644,1.14755,1.37308,1.21712,1.37529,1.31966
260,Al-Hamadi,IPS,FWD,4.8,0.37852,0.36074,0.38495,0.34332,0.2658,0.31039,0.34644
261,Baggott,IPS,DEF,4,0,0,0,0,0,0,0
262,Broadhead,IPS,MID,4.9,0.69075,0.68356,0.66463,0.66058,0.57015,0.62806,0.62705
263,Burgess,IPS,DEF,3.9,1.725,1.78874,1.92197,1.81204,2.19537,1.81783,1.95475
264,Burns,IPS,MID,4.8,1.97953,1.96232,2.05591,1.88493,1.7417,1.79554,1.93021
265,Chaplin,IPS,MID,5.1,1.71952,1.71549,1.71577,1.65771,1.43451,1.57227,1.60696
266,H.Clarke,IPS,DEF,4,0.8776,0.91684,0.99742,0.93079,1.16962,0.93401,1.01794
